subject,relation,object,subject_type,object_type
romans,known from,numerous aqueducts,NOUN_CHUNK,NOUN_CHUNK
elite housing,have,hypocausts,NOUN_CHUNK,NOUN_CHUNK
rome,encouraged,development,NOUN_CHUNK,NOUN_CHUNK
public baths,served,hygienic social cultural functions,NOUN_CHUNK,NOUN_CHUNK
villa,commanded,view,NOUN_CHUNK,NOUN_CHUNK
poetry,praised,idealized lives,NOUN_CHUNK,NOUN_CHUNK
"200,000–250,000 adult males",received,grain dole,CARDINAL,NOUN_CHUNK
evening meal,influenced by,important social functions,NOUN_CHUNK,NOUN_CHUNK
philosophers,resisted,demands,NOUN_CHUNK,NOUN_CHUNK
church,discouraged,gluttony,NOUN_CHUNK,NOUN_CHUNK
religious festivals,featured,games,NOUN_CHUNK,NOUN_CHUNK
greek style athletics,included,footraces,NOUN_CHUNK,NOUN_CHUNK
circus maximus,seat,"around 150,000 spectators",NOUN_CHUNK,CARDINAL
horses,had,horses fans,NOUN_CHUNK,NOUN_CHUNK
circus races,considered,magical aura,NOUN_CHUNK,NOUN_CHUNK
pleasure romans,found,theatre,NOUN_CHUNK,NOUN_CHUNK
girls,had,dolls,NOUN_CHUNK,NOUN_CHUNK
famous bikini girls mosaic,shows,young women,NOUN_CHUNK,NOUN_CHUNK
emperor,wear,purple toga,NOUN_CHUNK,NOUN_CHUNK
arts.people,seen,art,NOUN_CHUNK,NOUN_CHUNK
person,view,wall paintings,NOUN_CHUNK,NOUN_CHUNK
objects,show,varying degrees,NOUN_CHUNK,NOUN_CHUNK
portraits,utilize,youthful classical proportions,NOUN_CHUNK,NOUN_CHUNK
religiosity,encouraged,production,NOUN_CHUNK,NOUN_CHUNK
wall painting,depicts,scenes,NOUN_CHUNK,NOUN_CHUNK
homeowners,chose,scenes,NOUN_CHUNK,NOUN_CHUNK
imports,stimulated,new regional centres,NOUN_CHUNK,NOUN_CHUNK
stars,enjoy,considerable wealth,NOUN_CHUNK,NOUN_CHUNK
roman obsession,indicates,high value,NOUN_CHUNK,NOUN_CHUNK
vernae,share in,schooling,NOUN_CHUNK,NOUN_CHUNK
grammaticus,taught,mainly greek latin literature,NOUN_CHUNK,NOUN_CHUNK
higher education,promoted,career advancement,NOUN_CHUNK,NOUN_CHUNK
hellenistic cities,sponsored,schools,NOUN_CHUNK,NOUN_CHUNK
quintilian,held,chair,NOUN_CHUNK,NOUN_CHUNK
girlfriends,represent,ideal,NOUN_CHUNK,NOUN_CHUNK
horace,perfected,use,NOUN_CHUNK,NOUN_CHUNK
called silver age,produced,distinguished writers,NOUN_CHUNK,NOUN_CHUNK
major greek authors,include,biographer,NOUN_CHUNK,NOUN_CHUNK
orator,called,confessions,NOUN_CHUNK,NOUN_CHUNK
prominent latin poets,include,ausonius,NOUN_CHUNK,NOUN_CHUNK
home,had,household shrine,NOUN_CHUNK,NOUN_CHUNK
neighbourhood shrines,dotted,city,NOUN_CHUNK,NOUN_CHUNK
augustus,justified,novelty,NOUN_CHUNK,NOUN_CHUNK
cultural precedent,facilitated,rapid dissemination,NOUN_CHUNK,NOUN_CHUNK
surviving letter,describes,surviving letter,NOUN_CHUNK,NOUN_CHUNK
russian tsardom,counted,rome,NOUN_CHUNK,NOUN_CHUNK
new york times,won,130 pulitzer prizes,NOUN_CHUNK,CARDINAL
early investors,included,edwin b. morgan,NOUN_CHUNK,NOUN_CHUNK
paper,supported,democrat grover cleveland,NOUN_CHUNK,NORP
van anda,created,newspaper photo library,NOUN_CHUNK,NOUN_CHUNK
new york times,received,transmission,NOUN_CHUNK,NOUN_CHUNK
paper,extended,paper breadth,NOUN_CHUNK,NOUN_CHUNK
new york times,began,international edition,NOUN_CHUNK,NOUN_CHUNK
bagdikian,obtained,portions,NOUN_CHUNK,NOUN_CHUNK
justices,wrote,nine separate opinions,NOUN_CHUNK,CARDINAL
new york times,sold,electronic rights,NOUN_CHUNK,NOUN_CHUNK
times,commenced,production,NOUN_CHUNK,NOUN_CHUNK
federal bureau,investigating,attacks,NOUN_CHUNK,NOUN_CHUNK
hillary clinton emails controversy,received,media coverage,NOUN_CHUNK,NOUN_CHUNK
new york times,republished,piece,NOUN_CHUNK,NOUN_CHUNK
times,had,annex,NOUN_CHUNK,NOUN_CHUNK
reporters,nicknamed,newspaper general female reporter fluff,NOUN_CHUNK,NOUN_CHUNK
newspaper general female reporter,chose,difficult subject,NOUN_CHUNK,NOUN_CHUNK
new york times,had,one slogan,NOUN_CHUNK,CARDINAL
ochs sulzberger family,owned,new york times,NOUN_CHUNK,NOUN_CHUNK
ochs sulzberger family trust,controls,roughly 88 percent,NOUN_CHUNK,PERCENT
arthur s. brisbane,served,year term,PERSON,NOUN_CHUNK
times,eliminated,position,NOUN_CHUNK,NOUN_CHUNK
new york times,endorse,incumbent moderate republican mayors,NOUN_CHUNK,NOUN_CHUNK
new york times,endorsed,republican new york state governor george,NOUN_CHUNK,NOUN_CHUNK
daily newspaper,had,555 million pageviews,NOUN_CHUNK,MONEY
domain,attracted,at least 146 million visitors,NOUN_CHUNK,CARDINAL
domain,added,"669,000 new digital subscribers",NOUN_CHUNK,CARDINAL
new york times,published,cookbooks,NOUN_CHUNK,NOUN_CHUNK
periodic new subscriber promotions,digital subscription rates for,four-week all-digital access,NOUN_CHUNK,DATE
subscribers,get,access,NOUN_CHUNK,NOUN_CHUNK
digital advertising,saw,growth,NOUN_CHUNK,NOUN_CHUNK
new york times,launched,news podcast,NOUN_CHUNK,NOUN_CHUNK
"october 2018, nyt",debuted,argument,DATE,NOUN_CHUNK
new york times,launched,standalone spanish language edition,NOUN_CHUNK,NOUN_CHUNK
spanish language version,featured,increased coverage,NOUN_CHUNK,NOUN_CHUNK
new york times,introduced,official foreign language variant,NOUN_CHUNK,NOUN_CHUNK
chinese government,blocked,access,NOUN_CHUNK,NOUN_CHUNK
chinese language operations,produce,three print publications,NOUN_CHUNK,CARDINAL
chinese platforms,represent,one of the new york times' top five digital markets globally,NOUN_CHUNK,CARDINAL
project,won,peabody award,NOUN_CHUNK,NOUN_CHUNK
unauthorized local union strike,prevented,publication,NOUN_CHUNK,NOUN_CHUNK
weekend edition,printed,saturday sunday papers,NOUN_CHUNK,NOUN_CHUNK
multi - union strike,shut down,major new york city newspapers,NOUN_CHUNK,NOUN_CHUNK
harsh judges,blamed,self hating jews,NOUN_CHUNK,NOUN_CHUNK
sulzburger,shared,"jewish newspaper"".after ochs concerns",NOUN_CHUNK,NOUN_CHUNK
reports,identified,jewish victims,NOUN_CHUNK,NORP
new york times,wrote in,national presidential campaign,NOUN_CHUNK,NOUN_CHUNK
2002 study,examined,middle east coverage,NOUN_CHUNK,NOUN_CHUNK
times,developed,national international reputation,NOUN_CHUNK,NOUN_CHUNK
2012 report,called,times,NOUN_CHUNK,NOUN_CHUNK
pew research center survey,asked,respondents,NOUN_CHUNK,NOUN_CHUNK
vicious assault,shakes,texas town,NOUN_CHUNK,GPE
